nama,Latitude,Longitude
GBIS Hermon Bangil,-7.5979245,112.7816659
Gereja Protestan di Indonesia Bagian Barat,-7.606573,112.7744668
GBI Diaspora Sejahtera Bangil,-7.6021569,112.7608429
Gereja Protestan di Indonesia Jalan Suroyo Tisnonegaran Probolinggo City East Java Indonesia,-7.7571995,113.2081797
Gereja Bethel Indonesia Sukabumi Probolinggo City East Java Indonesia,-7.7484357,113.2066909
Gereja Sidang Persekutuan Injili Indonesia Sukabumi Probolinggo City East Java Indonesia,-7.748839,113.212566
Gereja Bethel Indonesia (GBI) Pondok Daud,-7.749584,113.22079
Gereja Pantekosta Di Indonesia Mawar Saron,-7.747787,113.2217873
Gereja Masehi Advent Hari Ketujuh GM,-7.753592,113.2131063
Gereja Bethel Indonesia Bukit Sion,-7.7498554,113.221414
GEREJA GPdI Elohim Gending,-7.7909536,113.3140209
Gereja Bethel Injil Sepnuh,-7.761511,113.417187
Gereja Santo Paulus Kraksaan,7.7619343,113.4224492
Gereja Kristen Jawi Wetan,-7.7640076,113.4181932
Gereja Kristen Jawi Wetan,-7.7579633,113.4359374
gereja Bethesda situbondo,-7.7888522,114.1914951
Gereja Kristus Tuhan Banyuwangi,-8.2090968,114.3704243
GKJW (Gereja Kristen Jawi Wetan) Situbondo,-7.6979449,113.9954998
Gereja Sidang Jemaat Pentakosta Di Indonesia Batu Karang,-7.911082,113.821748
Mawar Sharon Church of Jember,-8.1748175,113.7028169
Gereja Katolik Maria Ratu Damai,-8.2162986,114.3639697
Gereja Katolik Maria Ratu Damai,-8.1356994,113.2213731
