,Latitude,Longitude,ID
114,-7.2907649,112.8046114,GBI Antiokhia Jalan Keputih Tegal Timur III Keputih Surabaya City East Java Indonesia
115,-7.3039938,112.7877608,GKJW Jemaat Sukolilo Jalan Semolowaru Bahari Semolowaru Surabaya City East Java Indonesia
116,-7.3130471,112.7883024,Gereja Kristen Abdiel Gloria Nirwana Eksekutif Jalan Wonorejo Permai VIII Wonorejo Surabaya City East Java Indonesia
117,-7.2650426,112.7725858,Gereja Kristus Tuhan Surabaya Timur Jalan Dharma Husada Utara III Mojo Surabaya City East Java Indonesia
118,-7.3135633,112.7931276,Bethany Family Blessing Nirwana Eksekutif
119,-7.2778984,112.7893463,GBI MARANATHA 2 Jalan Kertajaya Indah Timur XVI Gebang Putih Surabaya City East Java Indonesia
120,-7.3404194,112.7768201,Gereja Kristen Indonesia Pondok Tjandra Indah Jl. Taman Asri Utara Tambakrejo Sidoarjo Regency East Java Indonesia
121,-7.3416366,112.7383184,Gereja Kristen Indonesia Nederland
122,-7.45611,112.714601,Gereja Kebangunan Kalam Allah Jalan Diponegoro Lemahputro Sidoarjo Regency East Java Indonesia
123,-7.361518,112.7296675,GKJW Jemaat Waru Jalan Raya Waru Kedungrejo Sidoarjo Regency East Java Indonesia
124,-7.382087,112.754013,Gereja Bethany Indonesia Juanda
125,-7.3559915,112.7582598,Gereja Katolik Paroki Salib Suci Tropodo Sidoarjo Regency East Java Indonesia
126,-7.3868297,112.7691536,Gereja Oikumene Juanda
127,-7.382087,112.754013,Bethany Church of Indonesia Juanda
128,-7.3793246,112.7375257,Gereja Katolik Paroki Santo Paulus Juanda
129,-7.394913,112.798634,Gereja Sidang Jemaat Allah Satelit Getsemani
130,-7.4480165,112.7238375,Gereja Kristen Indonesia (GKI) Sidoarjo
131,-7.4473038,112.7207069,GPIB Bethesda Sidokumpul Sidoarjo Regency East Java Indonesia
132,-7.451794,112.720713,GPdI Elohim Sidokumpul Sidoarjo Regency East Java Indonesia
133,-7.449741,112.711186,Successful Bethany Families Father's House Jalan Pahlawan Sidokumpul Sidoarjo Regency East Java Indonesia
134,-7.4503072,112.7100389,HKBP Sidoarjo Sidokumpul Sidoarjo Regency East Java Indonesia
135,-7.4497847,112.7049938,Gereja Mawar Sharon Sidoarjo Sidoarjo Lemahputro Sidoarjo Regency East Java Indonesia
136,-7.4478819,112.7024162,Gereja GKJW Jati Sidoarjo Regency East Java Indonesia
137,-7.449922,112.69932,Gereja Allah Baik Banjarbendo Sidoarjo Regency East Java Indonesia
138,-7.4477049,112.7246151,Sancta Maria Catholic Church Annuntiata Sidokumpul Sidoarjo Regency East Java Indonesia
139,-7.460982,112.716382,Gereja Bethel Indonesia CENTRO Sidokare Sidoarjo Jawa Timur Indonesia
140,-7.4472534,112.7207361,Gereja Protestan di Indonesia Bagian Barat Bethesta Jl. Untung Suropati Sidokumpul Sidoarjo Regency East Java Indonesia
141,-7.461414,112.7149905,Gereja Satelit Praban Jl.Praban Selatan Sidokare Sidoarjo Regency East Java Indonesia
142,-7.4657662,112.7127453,GPIA Glory to Glory
143,-7.4717354,112.7291847,GBI ROCK Candi
144,-7.492984,112.6660436,Gereja Pantekosta Di Indonesia Pangkemiri Sidoarjo Regency East Java Indonesia
145,-7.492984,112.6660436,GAB El Gibor
146,-7.5383703,112.6898866,Gereja Katolik Gempol Juwetkenongo Sidoarjo Regency East Java Indonesia
147,-7.5394084,112.6938064,Gereja Katholik Saint Andreas Porong
148,-7.931738,112.637666,Gereja Kristen Jawi Wetan Tunjung Sekar
149,-7.9412139,112.6092981,Gereja Kristus di Indonesia (GKDI) Malang
150,-7.941469,112.60879,Gereja Kristen Jawi Wetan Jemaat Dinoyo
151,-7.964945,112.6095495,True Jesus Church Jalan Tidar Sakti Karangbesuki Malang City East Java Indonesia
152,-7.9485365,112.6506295,YHS Church MALANG Jalan Tenaga Baru 4 Blimbing Malang City East Java Indonesia
153,-7.971538,112.638226,Gereja GBI Betlehem
154,-7.967256,112.6319345,Gereja Katolik Cor jesu
155,-7.9687923,112.6241515,Gereja Katolik Katedral Ijen
156,-7.9735425,112.6141102,Mawar Sharon Church of Malang
157,-7.98317,112.625994,GKJW Congregation Church Malang
158,-7.9843063,112.6334201,Gereja Pantekosta Jalan Agus Salim Kiduldalem Malang City East Java Indonesia
159,-7.9807163,112.6307416,Gereja Hati Kudus Yesus Jalan MGR Sugiyopranoto Kiduldalem Malang City East Java Indonesia
160,-7.9762007,112.6281157,Gereja Kalam Kudus Malang
161,-7.9524547,112.6878059,GKAI Bethesda Bugis
162,-8.012411,112.743457,Greja Kristen Jawi Wetan Jemaat Pulungdowo
163,-7.995174,112.682678,Bethany TOC Buring
164,-7.979854,112.659622,The congregation of the Evangelical Christian Church archipelago Narwastu
165,-7.9761287,112.6712849,Bethany Sawojajar
166,-7.985782,112.672794,PD Kana BTU
167,-8.0131941,112.7570287,Gereja Katolik Trinitas
168,-7.8409512,112.7827414,"GEREJA KRISTEN BAITHANI ""HOSANA"" Dawuhan Sengon Purwodadi Pasuruan JATIM"
169,-7.901449,112.8288511,Gereja Kristen Baithani Wonosari Pasuruan East Java Indonesia
170,-7.9197911,112.8568813,Gereja Kristen Baithani Pos PI Kletak
171,-7.9189666,112.885816,Gereja Kristen Baithani Pos PI Mororejo
172,-7.6403174,112.9035239,GSJA Betlehem Pasuruan
173,-7.6489288,112.9020876,Gereja Kristen Indonesia (GKI) Pasuruan
174,-7.6366049,112.9085326,Gereja Kristen Jawi Wetan Tejowangi
175,-7.6408895,112.9142573,GPIB Pniel Jalan Cemara Kandangsapi Pasuruan City East Java Indonesia
176,-7.6409699,112.91543,Gereja Pantekosta di Indonesia Rumah Doa Agape
177,-7.6412847,112.9144516,GKJW Jemaat Pasuruan
178,-7.6012551,112.7895606,"GPIB Jemaat ""IMMANUEL"" di Bangil"
179,-7.5979245,112.7816659,GBIS Hermon Bangil
180,-7.606573,112.7744668,Gereja Protestan di Indonesia Bagian Barat
181,-7.6021569,112.7608429,GBI Diaspora Sejahtera Bangil
182,-7.7571995,113.2081797,Gereja Protestan di Indonesia Jalan Suroyo Tisnonegaran Probolinggo City East Java Indonesia
183,-7.7484357,113.2066909,Gereja Bethel Indonesia Sukabumi Probolinggo City East Java Indonesia
184,-7.748839,113.212566,Gereja Sidang Persekutuan Injili Indonesia Sukabumi Probolinggo City East Java Indonesia
